unixtime,lat,lon,depth,sci_water_temp
1469369621.4026198,48.33727224673972,-64.17057962896229,59.01022122458108,1.6499
1469369623.53772,48.33727076668286,-64.17056761650689,58.75981089131518,1.6851
1469369625.56262,48.337269363016865,-64.17055622405606,58.52232510594722,1.7204
1469369627.59552,48.33726795380517,-64.17054478659504,58.283901042895614,1.7334
1469369629.79123,48.337266431733255,-64.17053243313657,58.02638219710089,1.7559
1469369631.8183599,48.33726502652132,-64.17052102813844,57.78863485162407,1.764
1469369632.9395099,48.33726424933717,-64.1705147203471,57.65714332237898,1.7767
1469369635.1012,48.33726275084797,-64.17050255829096,57.403614428683206,1.7858
1469369637.1319,48.3372613431614,-64.17049113320824,57.165448402480486,1.8062
1469369639.17239,48.33725992868842,-64.17047965304556,56.92613418500238,1.8022
1469369641.19672,48.3372585254176,-64.170468263802,56.68871525768662,1.8189
1469369643.22305,48.33725712076014,-64.17045686330421,56.45106172599698,1.8303
1469369645.2627301,48.33725570684877,-64.17044538769953,56.21184252468843,1.8402
1469369647.2971802,48.337254296562634,-64.17043394151816,55.97592587707576,1.8422
1469369649.43121,48.33725281724735,-64.17042193508154,55.74207194851554,1.8445
1469369651.4556,48.33725141393487,-64.17041054549996,55.52023273946981,1.8424
1469369653.4646301,48.33725002127007,-64.17039924233714,55.30007674177507,1.8426
1469369655.4965198,48.337248612758465,-64.17038781055822,55.077415639633806,1.8429
1469369657.5042698,48.33724722098086,-64.17037651459597,54.857399889956646,1.8418
1469369659.54892,48.337245803624214,-64.17036501102879,54.63334054016178,1.8346
1469369661.57413,48.337244399743206,-64.17035361683281,54.41141145533727,1.8425
1469369663.61011,48.33724298839651,-64.17034216204377,54.188302176129405,1.838
1469369665.64261,48.33724157946214,-64.1703307268336,53.965574241941006,1.8438
1469369667.67273,48.33724017217768,-64.17031930501447,53.74310713039782,1.8648
1469369669.7698698,48.337238718434655,-64.1703075061278,53.51329573076144,1.8932
1469369672.13348,48.33723707997397,-64.1702942080333,53.254283690601596,1.9072
1469369673.2131,48.33723633157861,-64.17028813389794,53.135975447946464,1.9449
1469369675.30371,48.337234882362225,-64.17027637175048,52.906879631945216,1.9972
1469369677.33365,48.33723347520239,-64.17026495094278,52.684432219918655,2.0259
1469369679.3568401,48.3372320727219,-64.1702535681137,52.420242633423655,2.0872
1469369681.37204,48.33723067577986,-64.17024223023583,52.135711006099044,2.1136
1469369683.3942,48.33722927401318,-64.17023085320021,51.85019668928893,2.1528
1469369685.5000598,48.33722781422549,-64.17021900525368,51.55286454845714,2.1989
1469369687.69272,48.3372262942679,-64.17020666895557,51.24327689763869,2.2353
1469369689.7223198,48.33722488734374,-64.17019525006067,50.95671209411703,2.2824
1469369691.75113,48.337223480967296,-64.17018383561113,50.670258849685354,2.3502
1469369692.86447,48.33722270919714,-64.1701775717609,50.51306333952203,2.4332
1469369695.0602698,48.33722118706274,-64.17016521779539,50.20303231369626,2.5722
1469369697.10565,48.33721976920003,-64.17015371012087,49.91423952635724,2.6592
1469369699.20828,48.33721831165128,-64.1701418803461,49.61736341781032,2.6823
1469369701.2735,48.33721688003542,-64.17013026104817,49.325769366236784,2.7829
1469369703.43622,48.337215380832255,-64.17011809319726,49.02040901048265,2.9619
1469369705.4607198,48.33721397744342,-64.17010670299594,48.73456429160007,3.17
1469369707.49139,48.33721256977768,-64.17009527808224,48.44784844232198,3.4651
1469369709.5047,48.33721117414592,-64.17008395083887,48.17654624273961,4.4095
1469369711.5275,48.33720977193565,-64.17007257020298,47.95726922084256,5.1967
1469369713.57645,48.33720835159798,-64.17006104244122,47.7351574432119,5.3265
1469369715.5915198,48.33720695474617,-64.17004970529572,47.51671837513037,5.3748
1469369717.60715,48.33720555750615,-64.17003836499931,47.29821859662034,5.5203
1469369719.64584,48.33720414428097,-64.17002689496408,47.0772190681554,5.615
1469369721.66104,48.337202747338935,-64.1700155570862,46.8587658885822,5.649
1469369723.69324,48.33720133861263,-64.17000412356484,46.63846989292872,5.7068
1469369725.72083,48.337199933081884,-64.16999271597916,46.418673614659184,5.7281
1469369727.74396,48.33719853064287,-64.16998133348679,46.1993608229737,5.7892
