time (UTC),latitude (degrees_north),longitude (degrees_east),temperature (degree_C),pressure (dbar)
2013-10-15 17:31:32,43.5108493902439,-65.3158575609756,14.873600006103516,-0.0300000011920928
2013-10-15 17:31:52,43.510838,-65.316263,14.871899604797363,-0.0300000011920928
2013-10-15 17:35:59,43.51025116958459,-65.3160398807327,13.566699981689451,39.34000015258789
2013-10-15 17:36:19,43.51020398654305,-65.31601486880596,14.221099853515623,36.900001525878906
2013-10-15 17:36:39,43.51015680350151,-65.31598985687924,14.3056001663208,34.470001220703125
2013-10-15 17:36:59,43.51010962045997,-65.31596484495252,14.413999557495115,31.830001831054688
2013-10-15 17:37:19,43.510062437418426,-65.31593983302578,14.46840000152588,29.30000114440918
2013-10-15 17:37:39,43.51001525437688,-65.31591482109906,14.49370002746582,26.78999900817871
2013-10-15 17:37:59,43.509968071335344,-65.31588980917232,14.501399993896484,24.34000015258789
2013-10-15 17:38:19,43.5099208882938,-65.3158647972456,14.484299659729004,22.040000915527344
2013-10-15 17:38:39,43.50987370525226,-65.31583978531887,14.487500190734863,19.829999923706055
2013-10-15 17:38:59,43.50982652221072,-65.31581477339213,14.486599922180176,17.579999923706055
2013-10-15 17:39:19,43.50977933916918,-65.31578976146541,14.485600471496582,15.369998931884766
2013-10-15 17:39:39,43.50973215612764,-65.31576474953867,14.47719955444336,13.140000343322754
2013-10-15 17:39:59,43.509684973086095,-65.31573973761195,14.472700119018556,10.889999389648438
2013-10-15 17:40:19,43.50963779004456,-65.31571472568523,14.478899955749512,8.600000381469727
2013-10-15 17:40:39,43.50959060700301,-65.31568971375849,14.49590015411377,6.28000020980835
2013-10-15 17:40:59,43.509543423961475,-65.31566470183176,14.568599700927734,3.880000114440918
2013-10-15 17:44:54,43.50898902322336,-65.31537081169269,12.417099952697754,41.17000198364258
2013-10-15 17:45:14,43.508941840181826,-65.31534579976596,14.17389965057373,38.98999786376953
2013-10-15 17:45:34,43.50889465714028,-65.31532078783923,14.229900360107422,36.68000030517578
2013-10-15 17:45:54,43.508847474098744,-65.3152957759125,14.269200325012209,34.27000045776367
2013-10-15 17:46:14,43.5088002910572,-65.31527076398578,14.39900016784668,31.830001831054688
2013-10-15 17:46:34,43.50875310801566,-65.31524575205904,14.427300453186035,29.38999938964844
2013-10-15 17:46:54,43.50870592497412,-65.31522074013232,14.500499725341797,27.11999893188477
2013-10-15 17:47:14,43.50865874193258,-65.31519572820558,14.488300323486328,24.899999618530273
2013-10-15 17:47:34,43.50861155889104,-65.31517071627886,14.487899780273438,22.81999969482422
2013-10-15 17:47:54,43.508564375849495,-65.31514570435213,14.48490047454834,20.73999786376953
2013-10-15 17:48:14,43.50851719280796,-65.3151206924254,14.48289966583252,18.719999313354492
2013-10-15 17:48:35,43.508467650614335,-65.31509442990233,14.48349952697754,16.6299991607666
2013-10-15 17:48:54,43.508422826724875,-65.31507066857193,14.483599662780762,14.5
2013-10-15 17:49:14,43.50837564368333,-65.31504565664521,14.479299545288086,12.420000076293944
2013-10-15 17:49:34,43.50832846064179,-65.31502064471847,14.474499702453612,10.369998931884766
2013-10-15 17:49:55,43.50827891844818,-65.31499438219541,14.49940013885498,8.25
2013-10-15 17:50:14,43.50823409455871,-65.31497062086503,14.540499687194824,6.059999942779541
2013-10-15 17:50:34,43.50818691151717,-65.31494560893829,14.560099601745604,3.7899999618530273
2013-10-15 17:54:26,43.50763958823529,-65.31465547058824,13.767499923706056,41.52000045776367
2013-10-15 17:54:46,43.507592405193755,-65.3146304586615,14.160099983215332,39.25
2013-10-15 17:55:07,43.50754286300013,-65.31460419613843,14.209699630737305,36.91999816894531
2013-10-15 17:55:26,43.50749803911067,-65.31458043480804,14.22089958190918,34.61000061035156
2013-10-15 17:55:46,43.50745085606913,-65.31455542288131,14.256600379943848,32.31999969482422
2013-10-15 17:56:06,43.50740367302759,-65.31453041095459,14.366499900817873,30.0
2013-10-15 17:56:26,43.50735648998605,-65.31450539902785,14.395500183105469,27.729999542236328
